id,freq,grammar,sv,grammar2,fa,wclass,ex,fa_ex
,,,är,,است,,,
,,,bäck,,نهر,noun,,
,,,dunkel,,مبهم,adjective,,
,,,brus,,صدا,noun,,
,,att,blomma,,شکوفه زدن,verb,,
